Time,Open,High,Low,Close,Volume
2017-11-01 09:05:00,32.2,32.2,32.2,32.2,0.01
2017-11-01 09:12:00,33.2,33.2,33.2,33.2,0.01
2017-11-01 09:18:00,32.5,32.5,32.5,32.5,0.01
2017-11-01 09:24:00,33.4,33.4,33.4,33.4,0.01
2017-11-01 09:30:00,32.2,32.2,32.2,32.2,0.01
2017-11-01 09:37:00,32.6,32.6,32.6,32.6,0.01
2017-11-01 09:43:00,32.6,32.6,32.6,32.6,0.01
2017-11-01 09:50:00,32.8,32.8,32.8,32.8,0.01
2017-11-01 09:56:00,32.7,32.7,32.7,32.7,0.01
2017-11-01 10:02:00,32.4,32.4,32.4,32.4,0.01
2017-11-01 10:09:00,32.3,32.3,32.3,32.3,0.01
2017-11-01 10:16:00,32.2,32.2,32.2,32.2,0.01
2017-11-01 10:22:00,32.0,32.0,32.0,32.0,0.01
2017-11-01 10:28:00,31.4,31.4,31.4,31.4,0.01
2017-11-01 10:34:00,31.2,31.2,31.2,31.2,0.01
2017-11-01 10:41:00,31.1,31.1,31.1,31.1,0.01
2017-11-01 10:47:00,31.4,31.4,31.4,31.4,0.01
2017-11-01 10:53:00,31.0,31.0,31.0,31.0,0.01
2017-11-01 10:59:00,32.0,32.0,32.0,32.0,0.01
2017-11-01 11:06:00,31.9,31.9,31.9,31.9,0.01
2017-11-01 11:12:00,32.0,32.0,32.0,32.0,0.01
2017-11-01 11:18:00,32.0,32.0,32.0,32.0,0.01
2017-11-01 11:25:00,32.3,32.3,32.3,32.3,0.01
2017-11-01 11:31:00,32.4,32.4,32.4,32.4,0.01
2017-11-01 11:37:00,32.4,32.4,32.4,32.4,0.01
2017-11-01 11:43:00,32.2,32.2,32.2,32.2,0.01
2017-11-01 11:50:00,32.4,32.4,32.4,32.4,0.01
2017-11-01 11:56:00,32.3,32.3,32.3,32.3,0.01
2017-11-01 12:02:00,32.4,32.4,32.4,32.4,0.01
2017-11-01 12:08:00,32.1,32.1,32.1,32.1,0.01
2017-11-01 12:15:00,32.2,32.2,32.2,32.2,0.01
2017-11-01 12:21:00,32.2,32.2,32.2,32.2,0.01
2017-11-01 12:27:00,31.5,31.5,31.5,31.5,0.01
2017-11-01 12:33:00,31.2,31.2,31.2,31.2,0.01
2017-11-01 12:39:00,31.4,31.4,31.4,31.4,0.01
2017-11-01 12:46:00,31.4,31.4,31.4,31.4,0.01
2017-11-01 12:52:00,31.8,31.8,31.8,31.8,0.01
2017-11-01 12:58:00,31.7,31.7,31.7,31.7,0.01
2017-11-01 13:05:00,31.3,31.3,31.3,31.3,0.01
2017-11-01 13:11:00,31.5,31.5,31.5,31.5,0.01
2017-11-01 13:17:00,31.8,31.8,31.8,31.8,0.01
2017-11-01 13:24:00,31.5,31.5,31.5,31.5,0.01
2017-11-01 13:30:00,31.5,31.5,31.5,31.5,0.01
2017-11-01 13:36:00,31.5,31.5,31.5,31.5,0.01
2017-11-01 13:42:00,31.3,31.3,31.3,31.3,0.01
2017-11-01 13:49:00,31.1,31.1,31.1,31.1,0.01
2017-11-01 13:55:00,30.8,30.8,30.8,30.8,0.01
2017-11-01 14:01:00,30.8,30.8,30.8,30.8,0.01
2017-11-01 14:07:00,30.7,30.7,30.7,30.7,0.01
2017-11-01 14:14:00,30.8,30.8,30.8,30.8,0.01
2017-11-01 14:20:00,31.0,31.0,31.0,31.0,0.01
2017-11-01 14:26:00,31.1,31.1,31.1,31.1,0.01
2017-11-01 14:33:00,31.1,31.1,31.1,31.1,0.01
2017-11-01 14:39:00,31.0,31.0,31.0,31.0,0.01
2017-11-01 14:45:00,31.0,31.0,31.0,31.0,0.01
2017-11-01 14:51:00,31.1,31.1,31.1,31.1,0.01
2017-11-01 14:57:00,31.1,31.1,31.1,31.1,0.01
2017-11-01 15:04:00,31.3,31.3,31.3,31.3,0.01
2017-11-01 15:10:00,31.1,31.1,31.1,31.1,0.01
2017-11-01 15:16:00,31.2,31.2,31.2,31.2,0.01
2017-11-01 15:22:00,31.0,31.0,31.0,31.0,0.01
2017-11-01 15:29:00,31.1,31.1,31.1,31.1,0.01
2017-11-01 15:35:00,31.3,31.3,31.3,31.3,0.01
2017-11-01 15:41:00,31.3,31.3,31.3,31.3,0.01
2017-11-01 15:48:00,31.2,31.2,31.2,31.2,0.01
2017-11-01 15:54:00,31.4,31.4,31.4,31.4,0.01
2017-11-01 16:00:00,31.4,31.4,31.4,31.4,0.01
2017-11-01 16:06:00,31.8,31.8,31.8,31.8,0.01
2017-11-01 16:12:00,31.6,31.6,31.6,31.6,0.01
2017-11-01 16:19:00,31.4,31.4,31.4,31.4,0.01
2017-11-01 16:25:00,31.4,31.4,31.4,31.4,0.01
2017-11-01 16:31:00,31.6,31.6,31.6,31.6,0.01
2017-11-01 16:38:00,31.2,31.2,31.2,31.2,0.01
2017-11-01 16:44:00,31.3,31.3,31.3,31.3,0.01
2017-11-01 16:50:00,31.4,31.4,31.4,31.4,0.01
2017-11-01 16:57:00,31.3,31.3,31.3,31.3,0.01
2017-11-01 17:03:00,31.1,31.1,31.1,31.1,0.01
2017-11-01 17:09:00,30.7,30.7,30.7,30.7,0.01
2017-11-01 17:15:00,31.0,31.0,31.0,31.0,0.01
2017-11-01 17:22:00,31.1,31.1,31.1,31.1,0.01
2017-11-01 17:28:00,30.7,30.7,30.7,30.7,0.01
2017-11-01 17:34:00,30.7,30.7,30.7,30.7,0.01
2017-11-01 17:40:00,30.6,30.6,30.6,30.6,0.01
2017-11-01 17:47:00,30.9,30.9,30.9,30.9,0.01
2017-11-01 17:53:00,30.4,30.4,30.4,30.4,0.01
2017-11-01 17:59:00,30.6,30.6,30.6,30.6,0.01
2017-11-01 18:06:00,30.4,30.4,30.4,30.4,0.01
2017-11-01 18:12:00,30.6,30.6,30.6,30.6,0.01
2017-11-01 18:18:00,30.6,30.6,30.6,30.6,0.01
2017-11-01 18:24:00,30.7,30.7,30.7,30.7,0.01
2017-11-01 18:30:00,30.5,30.5,30.5,30.5,0.01
2017-11-01 18:37:00,30.5,30.5,30.5,30.5,0.01
2017-11-01 18:43:00,30.5,30.5,30.5,30.5,0.01
2017-11-01 18:49:00,30.4,30.4,30.4,30.4,0.01
2017-11-01 18:55:00,30.2,30.2,30.2,30.2,0.01
2017-11-01 19:01:00,30.2,30.2,30.2,30.2,0.01
2017-11-01 19:08:00,29.8,29.8,29.8,29.8,0.01
2017-11-01 19:14:00,30.1,30.1,30.1,30.1,0.01
2017-11-01 19:20:00,30.1,30.1,30.1,30.1,0.01
2017-11-01 19:26:00,29.9,29.9,29.9,29.9,0.01
2017-11-01 19:32:00,30.1,30.1,30.1,30.1,0.01
2017-11-01 19:39:00,30.3,30.3,30.3,30.3,0.01
2017-11-01 19:45:00,30.1,30.1,30.1,30.1,0.01
2017-11-01 19:51:00,30.2,30.2,30.2,30.2,0.01
2017-11-01 19:57:00,30.1,30.1,30.1,30.1,0.01
2017-11-01 20:04:00,30.3,30.3,30.3,30.3,0.01
2017-11-01 20:10:00,30.3,30.3,30.3,30.3,0.01
2017-11-01 20:16:00,28.5,28.5,28.5,28.5,0.01
2017-11-01 20:22:00,27.5,27.5,27.5,27.5,0.01
2017-11-01 20:29:00,28.4,28.4,28.4,28.4,0.01
2017-11-01 20:35:00,28.0,28.0,28.0,28.0,0.01
2017-11-01 20:41:00,27.7,27.7,27.7,27.7,0.01
2017-11-01 20:47:00,28.0,28.0,28.0,28.0,0.01
2017-11-01 20:54:00,28.7,28.7,28.7,28.7,0.01
2017-11-01 21:00:00,29.2,29.2,29.2,29.2,0.01
2017-11-01 21:06:00,29.1,29.1,29.1,29.1,0.01
2017-11-01 21:12:00,29.0,29.0,29.0,29.0,0.01
2017-11-01 21:18:00,29.3,29.3,29.3,29.3,0.01
2017-11-01 21:24:00,30.0,30.0,30.0,30.0,0.01
2017-11-01 21:31:00,29.9,29.9,29.9,29.9,0.01
2017-11-01 21:37:00,29.3,29.3,29.3,29.3,0.01
2017-11-01 21:43:00,29.8,29.8,29.8,29.8,0.01
2017-11-01 21:50:00,29.8,29.8,29.8,29.8,0.01
2017-11-01 21:56:00,29.6,29.6,29.6,29.6,0.01
2017-11-01 22:02:00,29.6,29.6,29.6,29.6,0.01
2017-11-01 22:08:00,29.3,29.3,29.3,29.3,0.01
2017-11-01 22:14:00,29.1,29.1,29.1,29.1,0.01
2017-11-01 23:10:00,29.0,29.0,29.0,29.0,0.01
2017-11-01 23:17:00,29.2,29.2,29.2,29.2,0.01
2017-11-01 23:23:00,29.2,29.2,29.2,29.2,0.01
2017-11-01 23:29:00,29.3,29.3,29.3,29.3,0.01
2017-11-01 23:35:00,29.2,29.2,29.2,29.2,0.01
2017-11-01 23:41:00,29.2,29.2,29.2,29.2,0.01
2017-11-01 23:47:00,29.0,29.0,29.0,29.0,0.01
2017-11-01 23:54:00,29.1,29.1,29.1,29.1,0.01
2017-11-02 00:00:00,29.1,29.1,29.1,29.1,0.01
2017-11-02 00:06:00,29.1,29.1,29.1,29.1,0.01
2017-11-02 00:12:00,29.2,29.2,29.2,29.2,0.01
2017-11-02 00:18:00,29.2,29.2,29.2,29.2,0.01
2017-11-02 00:25:00,29.2,29.2,29.2,29.2,0.01
2017-11-02 00:31:00,29.2,29.2,29.2,29.2,0.01
2017-11-02 00:37:00,29.2,29.2,29.2,29.2,0.01
2017-11-02 00:43:00,29.2,29.2,29.2,29.2,0.01
2017-11-02 00:50:00,29.2,29.2,29.2,29.2,0.01
2017-11-02 00:56:00,29.2,29.2,29.2,29.2,0.01
2017-11-02 01:02:00,29.2,29.2,29.2,29.2,0.01
2017-11-02 01:08:00,29.2,29.2,29.2,29.2,0.01
2017-11-02 01:14:00,29.0,29.0,29.0,29.0,0.01
2017-11-02 01:21:00,29.0,29.0,29.0,29.0,0.01
2017-11-02 01:27:00,28.6,28.6,28.6,28.6,0.01
2017-11-02 01:33:00,28.6,28.6,28.6,28.6,0.01
2017-11-02 01:39:00,28.5,28.5,28.5,28.5,0.01
2017-11-02 01:46:00,28.3,28.3,28.3,28.3,0.01
2017-11-02 01:52:00,28.7,28.7,28.7,28.7,0.01
2017-11-02 01:58:00,29.1,29.1,29.1,29.1,0.01
2017-11-02 02:04:00,28.8,28.8,28.8,28.8,0.01
2017-11-02 02:10:00,28.5,28.5,28.5,28.5,0.01
2017-11-02 02:17:00,28.5,28.5,28.5,28.5,0.01
2017-11-02 02:23:00,28.4,28.4,28.4,28.4,0.01
2017-11-02 02:29:00,28.1,28.1,28.1,28.1,0.01
2017-11-02 02:35:00,28.3,28.3,28.3,28.3,0.01
2017-11-02 02:41:00,28.3,28.3,28.3,28.3,0.01
2017-11-02 02:47:00,28.7,28.7,28.7,28.7,0.01
2017-11-02 02:54:00,28.5,28.5,28.5,28.5,0.01
2017-11-02 03:00:00,28.4,28.4,28.4,28.4,0.01
2017-11-02 03:06:00,28.5,28.5,28.5,28.5,0.01
2017-11-02 03:12:00,28.6,28.6,28.6,28.6,0.01
2017-11-02 03:18:00,28.7,28.7,28.7,28.7,0.01
2017-11-02 03:25:00,28.8,28.8,28.8,28.8,0.01
2017-11-02 03:31:00,28.8,28.8,28.8,28.8,0.01
2017-11-02 03:37:00,28.5,28.5,28.5,28.5,0.01
2017-11-02 03:43:00,28.3,28.3,28.3,28.3,0.01
2017-11-02 03:49:00,28.2,28.2,28.2,28.2,0.01
