Time,Open,High,Low,Close,Volume
2020-02-01 16:45:00,63.3,63.3,63.3,63.3,38064.50627829
2020-02-01 16:46:00,63.2,63.3,63.2,63.3,47340.21513072
2020-02-01 16:47:00,63.2,63.2,63.2,63.2,94.93670887
2020-02-01 16:48:00,63.2,63.2,63.2,63.2,50015.82278482
2020-02-01 16:52:00,63.2,63.2,63.2,63.2,460.72923588
2020-02-01 16:53:00,63.2,63.2,63.2,63.2,4130.42702138
2020-02-01 16:54:00,63.2,63.2,63.2,63.2,49712.83250462
2020-02-01 16:55:00,63.1,63.2,63.1,63.2,7838.04849353
2020-02-01 16:56:00,63.2,63.2,63.2,63.2,1746.32761056
2020-02-01 16:57:00,63.2,63.2,63.2,63.2,13127.26487993
2020-02-01 16:58:00,63.2,63.2,63.2,63.2,49018.03985903
2020-02-01 16:59:00,63.2,63.2,63.2,63.2,35431.33586169
2020-02-01 17:00:00,63.2,63.2,63.2,63.2,29489.4149475
2020-02-01 17:02:00,63.2,63.2,63.2,63.2,849.64873417
2020-02-01 17:05:00,63.1,63.2,63.1,63.1,9447.7144909
2020-02-01 17:06:00,63.1,63.1,63.1,63.1,599.384
2020-02-01 17:07:00,63.1,63.2,63.1,63.1,43294.71313189
2020-02-01 17:08:00,63.1,63.2,63.1,63.2,124772.50150598
2020-02-01 17:10:00,63.1,63.1,63.0,63.0,66631.18557993
2020-02-01 17:11:00,63.2,63.2,63.0,63.0,13823.63641381
2020-02-01 17:14:00,63.0,63.0,63.0,63.0,719.5
2020-02-01 17:15:00,63.0,63.1,63.0,63.1,30648.7
2020-02-01 17:17:00,63.0,63.0,63.0,63.0,8256.06091181
2020-02-01 17:18:00,63.1,63.1,63.1,63.1,936.08605388
2020-02-01 17:20:00,63.1,63.1,63.1,63.1,29242.09928895
2020-02-01 17:21:00,63.1,63.1,63.1,63.1,1593.33296153
2020-02-01 17:23:00,63.1,63.1,63.1,63.1,22305.06535193
2020-02-01 17:24:00,63.0,63.0,63.0,63.0,75397.31539575
2020-02-01 17:25:00,63.0,63.0,62.9,63.0,56326.74315668
2020-02-01 17:26:00,62.9,62.9,62.9,62.9,100000.0
2020-02-01 17:28:00,62.9,63.0,62.9,63.0,51078.04514768
2020-02-01 17:29:00,63.0,63.0,63.0,63.0,39.307
2020-02-01 17:30:00,63.0,63.0,63.0,63.0,35496.71751425
2020-02-01 17:31:00,63.0,63.3,62.9,63.3,270175.86702646
2020-02-01 17:32:00,63.3,63.4,63.3,63.4,40186.4611006
2020-02-01 17:33:00,63.4,63.4,63.4,63.4,1368.9044
2020-02-01 17:34:00,63.4,63.4,63.3,63.3,3521.33774075
2020-02-01 17:36:00,63.2,63.2,63.2,63.2,30715.0739663
2020-02-01 17:37:00,63.2,63.2,63.2,63.2,20165.63940252
2020-02-01 17:39:00,63.2,63.2,63.1,63.1,30342.31775619
2020-02-01 17:40:00,63.1,63.1,63.1,63.1,17090.47190514
2020-02-01 17:41:00,63.1,63.1,63.0,63.0,15450.83468363
2020-02-01 17:42:00,63.0,63.0,63.0,63.0,1603.7184466
2020-02-01 17:44:00,63.0,63.0,63.0,63.0,22833.70984872
2020-02-01 17:45:00,63.0,63.0,62.9,62.9,99900.17383911
2020-02-01 17:46:00,62.9,62.9,62.9,62.9,4856.72906545
2020-02-01 17:47:00,62.9,62.9,62.9,62.9,1495.06768355
2020-02-01 17:48:00,62.9,62.9,62.9,62.9,1578.39962635
2020-02-01 17:53:00,62.9,62.9,62.9,62.9,54068.87902202
2020-02-01 17:54:00,62.9,62.9,62.9,62.9,14282.77015226
2020-02-01 17:56:00,62.9,62.9,62.9,62.9,58933.64189099
2020-02-01 17:57:00,62.9,62.9,62.9,62.9,16082.96260832
2020-02-01 17:58:00,62.9,62.9,62.8,62.8,61668.32111855
2020-02-01 17:59:00,62.8,62.8,62.6,62.6,241808.5694578
2020-02-01 18:01:00,62.5,62.5,62.5,62.5,98153.59834153
2020-02-01 18:02:00,62.5,62.6,62.1,62.6,1730718.24427376
2020-02-01 18:03:00,62.6,62.6,62.5,62.5,117134.1365164
2020-02-01 18:04:00,62.5,62.5,62.4,62.5,151435.25970387
